tasknum,tsktknm,tskstfas,tskactcd,tskclass,tskrqact,tskrspn,tskdassn,tskdtc,tskddue,tskdcls,tskstown,tskstat,tskownts,tskclstm,tskadusr,tskadtm,tskmdusr,tskmdtm,tsactive,tsspare1,tsspare2,tsspare3,tsread1,tsread,tskorder,tssys
1934123D1,1934123,AUB-DLH,VBA17,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2009-01-14,30,2009-02-13,2009-02-03,RO46,C,,,RO46,2008-06-06,RO46,2009-02-03,,,,,,,,
1934123D10,1934123,215B,VBA01,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2012-11-13,60,2013-01-12,2013-05-14,RO49,C,,,RO49,2012-11-13,RO49,2013-05-14,,,,,,,,
1934123D11,1934123,215BCR,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2013-05-14,30,2013-06-13,2013-06-27,RO49,C,,,RO49,2013-05-14,RO49,2013-06-27,,,,,,,,
1934123D12,1934123,MES EXAM,VBA01,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2013-06-27,60,2013-08-26,2013-07-19,RO49,C,,,RO49,2013-06-27,RO49,2013-07-19,,,,,,,,
1934123D13,1934123,215B,VBA32,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2013-08-29,15,2013-09-13,2013-09-03,RO49,C,,,RO49,2013-08-29,RO49,2013-09-03,,,,,,,,
1934123D14,1934123,215B,VBA08,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2013-09-03,30,2013-10-03,2013-11-14,RO49,C,,,RO49,2013-09-03,RO49,2013-11-14,,,,,,,,
1934123D15,1934123,215B,VBA07,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2013-11-14,31,2013-12-15,2013-11-29,RO49,C,,,RO49,2013-11-14,RO49,2013-11-29,,,,,,,,
1934123D16,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2013-11-29,60,2014-01-28,2013-12-03,RO49,C,,,RO49,2013-11-29,RO49,2013-12-03,,,,,,,,
1934123D17,1934123,FILES,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2014-01-08,90,2014-04-08,2015-03-05,RO49,C,,,RO49,2013-12-03,RO49,2015-03-05,,,,,,,,
1934123D18,1934123,VBMS,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2015-03-05,180,2015-09-01,2015-05-08,RO49,C,,,RO49,2015-03-05,RO49,2015-05-08,,,,,,,,
1934123D19,1934123,215B,VBA15,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2016-05-11,180,2016-11-07,2016-12-13,RO49,C,,,RO49,2015-05-08,RO49,2016-12-13,,,,,,,,
1934123D2,1934123,DRO,VBA40,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2009-12-08,90,2010-03-08,2009-12-08,RO46,C,,,,,RO46,2009-12-08,,,,,,,,
1934123D20,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2015-05-08,30,2015-06-07,2015-05-12,RO49,C,,,RO49,2015-05-08,RO49,2015-05-12,,,,,,,,
1934123D21,1934123,215B,VBA08,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2015-05-12,30,2015-06-11,2015-05-12,RO49,C,,,RO49,2015-05-12,RO49,2015-05-12,,,,,,,,
1934123D22,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2015-05-12,180,2015-11-08,2015-11-12,RO49,C,,,RO49,2015-05-12,RO49,2015-11-12,,,,,,,,
1934123D23,1934123,VBMS,VBA15,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2016-12-13,180,2017-06-11,2016-12-15,RO49,C,,,RO49,2016-12-13,RO49,2016-12-15,,,,,,,,
1934123D3,1934123,215B,VBA16,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2009-12-22,30,2010-01-21,2010-01-21,RO49,C,,,RO49,2009-12-22,RO49,2010-01-21,,,,,,,,
1934123D4,1934123,215B,VBA15,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2010-07-19,300,2011-05-15,2011-09-22,RO49,C,,,RO49,2010-01-21,RO49,2011-09-22,,,,,,,,
1934123D5,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2011-09-22,180,2012-03-20,2011-09-22,RO49,C,,,RO49,2011-09-22,RO49,2011-09-22,,,,,,,,
