hearing_task_associations; hearings; ; 1:1; A.hearing_id=B.id AND A.hearing_type='Hearing'; hearing_task_associations belongs to Hearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
hearing_task_associations; legacy_hearings; ; 1:1; A.hearing_id=B.id AND A.hearing_type='LegacyHearing'; hearing_task_associations belongs to LegacyHearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
tasks; users; ; 1:n; A.assigned_to_id=B.id AND A.assigned_to_type='User'; tasks belongs to User; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
tasks; organizations; ; 1:n; A.assigned_to_id=B.id AND A.assigned_to_type='Organization'; tasks belongs to Organization; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
tasks; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; tasks belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
tasks; legacy_appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; tasks belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
claimants; appeals; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='Appeal'; claimants belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
claimants; supplemental_claims; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='SupplementalClaim'; claimants belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
claimants; higher_level_reviews; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='HigherLevelReview'; claimants belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
hearing_email_recipients; hearings; ; n:m; A.hearing_id=B.id AND A.hearing_type='Hearing'; hearing_email_recipients belongs to Hearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
hearing_email_recipients; legacy_hearings; ; n:m; A.hearing_id=B.id AND A.hearing_type='LegacyHearing'; hearing_email_recipients belongs to LegacyHearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
sent_hearing_email_events; hearings; ; n:m; A.hearing_id=B.id AND A.hearing_type='Hearing'; sent_hearing_email_events belongs to Hearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
sent_hearing_email_events; legacy_hearings; ; n:m; A.hearing_id=B.id AND A.hearing_type='LegacyHearing'; sent_hearing_email_events belongs to LegacyHearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
special_issue_lists; appeals; ; 1:1; A.appeal_id=B.id AND A.appeal_type='Appeal'; special_issue_lists belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
special_issue_lists; legacy_appeals; ; 1:1; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; special_issue_lists belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
vbms_uploaded_documents; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; vbms_uploaded_documents belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
vbms_uploaded_documents; legacy_appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; vbms_uploaded_documents belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
decision_issues; appeals; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='Appeal'; decision_issues belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
decision_issues; supplemental_claims; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='SupplementalClaim'; decision_issues belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
decision_issues; higher_level_reviews; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='HigherLevelReview'; decision_issues belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
intakes; appeals; ; 1:1; A.detail_id=B.id AND A.detail_type='Appeal'; intakes belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
intakes; supplemental_claims; ; 1:1; A.detail_id=B.id AND A.detail_type='SupplementalClaim'; intakes belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
intakes; higher_level_reviews; ; 1:1; A.detail_id=B.id AND A.detail_type='HigherLevelReview'; intakes belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
intakes; ramp_elections; ; 1:n; A.detail_id=B.id AND A.detail_type='RampElection'; intakes belongs to RampElection; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
intakes; ramp_refilings; ; 1:1; A.detail_id=B.id AND A.detail_type='RampRefiling'; intakes belongs to RampRefiling; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
request_issues; appeals; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='Appeal'; request_issues belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
request_issues; supplemental_claims; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='SupplementalClaim'; request_issues belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
request_issues; higher_level_reviews; ; 1:n; A.decision_review_id=B.id AND A.decision_review_type='HigherLevelReview'; request_issues belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
virtual_hearings; hearings; ; 1:1; A.hearing_id=B.id AND A.hearing_type='Hearing'; virtual_hearings belongs to Hearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
virtual_hearings; legacy_hearings; ; 1:1; A.hearing_id=B.id AND A.hearing_type='LegacyHearing'; virtual_hearings belongs to LegacyHearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
decision_documents; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; decision_documents belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
decision_documents; legacy_appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; decision_documents belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
advance_on_docket_motions; appeals; ; n:m; A.appeal_id=B.id AND A.appeal_type='Appeal'; advance_on_docket_motions belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
advance_on_docket_motions; legacy_appeals; ; n:m; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; advance_on_docket_motions belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
appeal_views; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; appeal_views belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
