Table,Column,Type,Required,Primary Key,Foreign Key,Unique,Index,Description
advance_on_docket_motions,,,,,,,,
advance_on_docket_motions,appeal_id,integer FK,,,x,,,The ID of the appeal this motion is associated with
advance_on_docket_motions,appeal_type,string,,,,,,The type of appeal this motion is associated with
advance_on_docket_motions,created_at,datetime ∗,x,,,,,
advance_on_docket_motions,granted,boolean,,,,,x,"Whether VLJ has determined that there is sufficient cause to fast-track an appeal, i.e. grant or deny the motion to AOD."
advance_on_docket_motions,id,integer (8) PK,x,x,,,,
advance_on_docket_motions,person_id,integer (8) FK,,,x,,x,Appellant ID
advance_on_docket_motions,reason,string,,,,,,VLJ's rationale for their decision on motion to AOD.
advance_on_docket_motions,updated_at,datetime ∗,x,,,,x,
advance_on_docket_motions,user_id,integer (8) FK,,,x,,x,
allocations,,,,,,,,
allocations,allocated_days,float ∗,x,,,,,
allocations,allocated_days_without_room,float,,,,,,Number of Hearing Days Allocated with no Rooms
allocations,created_at,datetime ∗,x,,,,,
allocations,id,integer (8) PK,x,x,,,,
allocations,regional_office,string ∗,x,,,,,
allocations,schedule_period_id,integer (8) ∗ FK,x,,x,,x,
allocations,updated_at,datetime ∗,x,,,,x,
annotations,,,,,,,,
annotations,comment,string ∗,x,,,,,
annotations,created_at,datetime,,,,,,
annotations,document_id,integer ∗ FK,x,,x,,x,
annotations,id,integer PK,x,x,,,,
annotations,page,integer,,,,,,
annotations,relevant_date,date,,,,,,
annotations,updated_at,datetime,,,,,,
annotations,user_id,integer FK,,,x,,x,
annotations,x,integer,,,,,,
annotations,y,integer,,,,,,
api_keys,,,,,,,,
api_keys,consumer_name,string ∗,x,,,,x,
api_keys,created_at,datetime,,,,,,
api_keys,id,integer PK,x,x,,,,
api_keys,key_digest,string ∗,x,,,,x,
api_keys,updated_at,datetime,,,,,x,
api_views,,,,,,,,
api_views,api_key_id,integer FK,,,x,,,
api_views,created_at,datetime,,,,,,
api_views,id,integer PK,x,x,,,,
api_views,source,string,,,,,,
api_views,updated_at,datetime,,,,,,
api_views,vbms_id,string,,,,,,
appeals,,,,,,,,Decision reviews intaken for AMA appeals to the board (also known as a notice of disagreement).
appeals,aod_based_on_age,boolean,,,,,x,"If true, appeal is advance-on-docket due to claimant's age."
appeals,changed_hearing_request_type,string,,,,,,The new hearing type preference for an appellant that needs a hearing scheduled
appeals,closest_regional_office,string,,,,,,The code for the regional office closest to the Veteran on the appeal.
appeals,created_at,datetime,,,,,,
appeals,docket_range_date,date,,,,,,Date that appeal was added to hearing docket range.
appeals,docket_type,string ∗,x,,,,x,"The docket type selected by the Veteran on their appeal form, which can be hearing, evidence submission, or direct review."
appeals,established_at,datetime,,,,,x,Timestamp for when the appeal has successfully been intaken into Caseflow by the user.
