tasknum,tsktknm,tskstfas,tskactcd,tskclass,tskrqact,tskrspn,tskdassn,tskdtc,tskddue,tskdcls,tskstown,tskstat,tskownts,tskclstm,tskadusr,tskadtm,tskmdusr,tskmdtm,tsactive,tsspare1,tsspare2,tsspare3,tsread1,tsread,tskorder,tssys
2226048D2,2226048,AMC,VBA30,ACTIVE,Culpa saepe qui dolor tenetur velit tempora.,Ut blanditiis rerum numquam aut consequuntur accusantium.,2014-02-06 00:00:00 UTC,45,2014-03-23 00:00:00 UTC,2014-04-04 00:00:00 UTC,RO43,C,,,RO43,2014-02-06 00:00:00 UTC,RO43,2014-04-04 00:00:00 UTC,,,,,,,,
2226048D3,2226048,RO43,VBA34,ACTIVE,Culpa saepe qui dolor tenetur velit tempora.,Ut blanditiis rerum numquam aut consequuntur accusantium.,2014-06-10 00:00:00 UTC,60,2014-08-09 00:00:00 UTC,2014-06-10 00:00:00 UTC,RO43,C,,,,,RO43,2014-06-10 00:00:00 UTC,,,,,,,,
2226048D4,2226048,DAV,VBA07,ACTIVE,Culpa saepe qui dolor tenetur velit tempora.,Ut blanditiis rerum numquam aut consequuntur accusantium.,2014-06-30 00:00:00 UTC,21,2014-07-21 00:00:00 UTC,2014-08-19 00:00:00 UTC,RO43,C,,,RO43,2014-06-30 00:00:00 UTC,RO43,2014-08-19 00:00:00 UTC,,,,,,,,
2226048D1,2226048,215B,VBA35,ACTIVE,Culpa saepe qui dolor tenetur velit tempora.,Ut blanditiis rerum numquam aut consequuntur accusantium.,2010-02-18 00:00:00 UTC,60,2010-04-19 00:00:00 UTC,2010-05-13 00:00:00 UTC,RO49,C,,,RO49,2010-02-18 00:00:00 UTC,RO43,2010-05-13 00:00:00 UTC,,,,,,,,
2226048D5,2226048,AWEHNER1,A,,Culpa saepe qui dolor tenetur velit tempora.,Ut blanditiis rerum numquam aut consequuntur accusantium.,2017-04-12 00:00:00 UTC,65,2017-06-16 00:00:00 UTC,2017-06-30 00:00:00 UTC,JWEHNER,P,,,JWEHNER,2017-04-12 00:00:00 UTC,,,,,,,,,,
2231180D3,2231180,FILES,VBA40,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-08-27 00:00:00 UTC,90,2010-11-25 00:00:00 UTC,2010-11-05 00:00:00 UTC,RO49,C,,,RO49,2010-08-27 00:00:00 UTC,RO49,2010-11-05 00:00:00 UTC,,,,,,,,
2231180D4,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-11-05 00:00:00 UTC,35,2010-12-10 00:00:00 UTC,2010-11-30 00:00:00 UTC,RO49,C,,,RO49,2010-11-05 00:00:00 UTC,RO49,2010-11-30 00:00:00 UTC,,,,,,,,
2231180D5,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-11-30 00:00:00 UTC,60,2011-01-29 00:00:00 UTC,2010-12-03 00:00:00 UTC,RO49,C,,,RO49,2010-11-30 00:00:00 UTC,RO49,2010-12-03 00:00:00 UTC,,,,,,,,
2231180D7,2231180,FILES,VBA40,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-12-03 00:00:00 UTC,30,2011-01-02 00:00:00 UTC,2010-12-09 00:00:00 UTC,RO49,C,,,RO49,2010-12-03 00:00:00 UTC,RO49,2010-12-09 00:00:00 UTC,,,,,,,,
2231180D8,2231180,215B,VBA08,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-12-09 00:00:00 UTC,30,2011-01-08 00:00:00 UTC,2011-01-18 00:00:00 UTC,RO49,C,,,RO49,2010-12-09 00:00:00 UTC,RO49,2011-01-18 00:00:00 UTC,,,,,,,,
2231180D9,2231180,VAMC,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2011-03-09 00:00:00 UTC,60,2011-05-08 00:00:00 UTC,2011-04-11 00:00:00 UTC,RO49,C,,,RO49,2011-01-18 00:00:00 UTC,RO49,2011-04-11 00:00:00 UTC,,,,,,,,
