ftkey,ftdesc,ftadusr,ftadtim,ftmdusr,ftmdtim,ftactive,fttype,ftsys,ftspare1,ftspare2,ftspare3
DG5000,Osteomyelitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG5001,"Bones and joints, tuberculosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5002,Arthritis rheumatoid (atrophic),SBARTELL,1999-05-05,,,A,DG,,,,
DG5003,"Arthritis, degenerative (hypertrophic or osteoarthritis)",SBARTELL,1999-05-05,,,A,DG,,,,
DG5004,"Arthritis, gonorrheal",SBARTELL,1999-05-05,,,A,DG,,,,
DG5005,"Arthritis, pneumococcic",SBARTELL,1999-05-05,,,A,DG,,,,
DG5006,"Arthritis, typhoid",SBARTELL,1999-05-05,,,A,DG,,,,
DG5007,"Arthritis, syphilitic",SBARTELL,1999-05-05,,,A,DG,,,,
DG5008,"Arthritis, streptococcic",SBARTELL,1999-05-05,,,A,DG,,,,
DG5009,"Arthritis, other types",SBARTELL,1999-05-05,,,A,DG,,,,
DG5010,"Arthritis, due to trauma",SBARTELL,1999-05-05,,,A,DG,,,,
DG5011,"Bones, caisson disease of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5012,"Bones, new growths of, malignant",SBARTELL,1999-05-05,,,A,DG,,,,
DG5013,"Osteoporosis, with joint manifestations",SBARTELL,1999-05-05,,,A,DG,,,,
DG5014,Osteomalacia,SBARTELL,1999-05-05,,,A,DG,,,,
DG5015,"Bones, new growths of, benign",SBARTELL,1999-05-05,,,A,DG,,,,
DG5016,Osteitis deformans,SBARTELL,1999-05-05,,,A,DG,,,,
DG5017,Gout,SBARTELL,1999-05-05,,,A,DG,,,,
DG5018,"Hydrarthrosis, intermittent",SBARTELL,1999-05-05,,,A,DG,,,,
DG5019,Bursitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG5020,Synovitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG5021,Myositis,SBARTELL,1999-05-05,,,A,DG,,,,
DG5022,Periostitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG5023,Myositis ossificans,SBARTELL,1999-05-05,,,A,DG,,,,
DG5024,Tenosynovitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG5025,"Fibromyalgia (fibrositis, primary fibromyalgia syndrome)",SBARTELL,1999-05-05,,,A,DG,,,,
DG5051,Shoulder replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG5052,Elbow replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG5053,Wrist replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG5054,Hip replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG5055,Knee replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG5056,Ankle replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG5099,Other musculoskeletal disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG5104,Anatomical loss of one hand and loss of use of one foot,SBARTELL,1999-05-05,,,A,DG,,,,
DG5105,Anatomical loss of one foot and loss of use of one hand,SBARTELL,1999-05-05,,,A,DG,,,,
DG5106,Anatomical loss of both hands,SBARTELL,1999-05-05,,,A,DG,,,,
DG5107,Anatomical loss of both feet,SBARTELL,1999-05-05,,,A,DG,,,,
DG5108,Anatomical loss of one hand and one foot,SBARTELL,1999-05-05,,,A,DG,,,,
DG5109,Loss of use of both hands,SBARTELL,1999-05-05,,,A,DG,,,,
DG5110,Loss of use of both feet,SBARTELL,1999-05-05,,,A,DG,,,,
DG5111,Loss of use of one hand and one foot,SBARTELL,1999-05-05,,,A,DG,,,,
DG5120,"Arm, amputation of:  Disarticulation",SBARTELL,1999-05-05,,,A,DG,,,,
DG5121,"Arm, amputation of:  Above insertion of deltoid",SBARTELL,1999-05-05,,,A,DG,,,,
DG5122,"Arm, amputation of:  Below insertion of deltoid",SBARTELL,1999-05-05,,,A,DG,,,,
DG5123,"Forearm, amputation of:  Above insertion of pronator teres",SBARTELL,1999-05-05,,,A,DG,,,,
DG5124,"Forearm, amputation of:  Below insertion of pronator teres",SBARTELL,1999-05-05,,,A,DG,,,,
DG5125,"Hand, loss of use of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5126,"Five digits of one hand, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5127,"Four digits of one hand, amputation of:  Thumb, index, middle and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5128,"Four digits of one hand, amputation of:  Thumb, index, middle and little.",SBARTELL,1999-05-05,,,A,DG,,,,
DG5129,"Four digits of one hand, amputation of:  Thumb, index, ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5130,"Four digits of one hand, amputation of:  Thumb, middle, ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5131,"Four digits of one hand, amputation of:  Index, middle, ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5132,"Three digits of one hand, amputation of:  Thumb, index and middle",SBARTELL,1999-05-05,,,A,DG,,,,
DG5133,"Three digits of one hand, amputation of:  Thumb, index and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5134,"Three digits of one hand, amputation of:  Thumb, index and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5135,"Three digits of one hand, amputation of:  Thumb, middle and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5136,"Three digits of one hand, amputation of:  Thumb, middle and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5137,"Three digits of one hand, amputation of:  Thumb, ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5138,"Three digits of one hand, amputation of:  Index, middle and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5139,"Three digits of one hand, amputation of:  Index, middle and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5140,"Three digits of one hand, amputation of:  Index, ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5141,"Three digits of one hand, amputation of:  Middle, ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5142,"Two digits of one hand, amputation of:  Thumb and index",SBARTELL,1999-05-05,,,A,DG,,,,
DG5143,"Two digits of one hand, amputation of:  Thumb and middle",SBARTELL,1999-05-05,,,A,DG,,,,
DG5144,"Two digits of one hand, amputation of:  Thumb and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5145,"Two digits of one hand, amputation of:  Thumb and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5146,"Two digits of one hand, amputation of:  Index and middle",SBARTELL,1999-05-05,,,A,DG,,,,
DG5147,"Two digits of one hand, amputation of:  Index and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5148,"Two digits of one hand, amputation of:  Index and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5149,"Two digits of one hand, amputation of:  Middle and ring",SBARTELL,1999-05-05,,,A,DG,,,,
DG5150,"Two digits of one hand, amputation of:  Middle and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5151,"Two digits of one hand, amputation of:  Ring and little",SBARTELL,1999-05-05,,,A,DG,,,,
DG5152,"Thumb, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5153,"Index finger, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5154,"Middle finger, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5155,"Ring finger, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5156,"Little finger, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5160,"Thigh, amputation of:  Disarticulation, with loss of extrinsic pelvic girdle muscles",SBARTELL,1999-05-05,,,A,DG,,,,
DG5161,"Thigh, amputation of:  Upper third",SBARTELL,1999-05-05,,,A,DG,,,,
DG5162,"Thigh, amputation of:  Middle or lower thirds",SBARTELL,1999-05-05,,,A,DG,,,,
DG5163,"Leg, amputation of:  With defective stump, thigh amputation recommended",SBARTELL,1999-05-05,,,A,DG,,,,
DG5164,"Leg, amputation of:  Not improvable by prosthesis controlled by natural knee action",SBARTELL,1999-05-05,,,A,DG,,,,
DG5165,"Leg, amputation of:  At a lower level, permitting prosthesis",SBARTELL,1999-05-05,,,A,DG,,,,
DG5166,"Forefoot, amputation proximal to metatarsal bones (more than one-half of metatarsal loss)",SBARTELL,1999-05-05,,,A,DG,,,,
DG5167,"Foot, loss of use of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5170,"Toes, all, amputation of, without metatarsal loss",SBARTELL,1999-05-05,,,A,DG,,,,
DG5171,"Toe, great, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5172,"Toes, one or two, other than great, amputation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5173,"Toes, three or four, amputation of, without metatarsal involvement",SBARTELL,1999-05-05,,,A,DG,,,,
DG5199,Other amputations,SBARTELL,1999-05-05,,,A,DG,,,,
DG5200,"Scapulohumeral articulation, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5201,"Arm, limitation of motion of",SBARTELL,1999-05-05,,,A,DG,,,,
